Cidade1,Cidade2,CustoTransporte
O,D,44.27
I,T,27.68
S,C,26.34
S,E,17.41
B,O,45.89
S,I,39.53
E,S,28.40
E,N,28.10
M,I,45.30
S,G,40.30
B,I,49.07
O,P,21.38
J,S,22.40
I,N,48.42
K,N,40.63
S,O,38.53
G,I,41.27
A,H,44.85
K,F,41.38
T,M,29.51
L,Q,43.44
B,R,30.36
I,E,46.10
H,T,27.77
I,P,16.24
R,L,45.11
T,J,48.42
G,J,43.37
D,M,15.38
O,R,30.39
M,B,29.43
D,G,30.46
A,C,38.98
K,B,48.46
F,N,15.53
Q,J,37.77
B,H,40.48
O,G,48.95
O,I,26.53
R,K,24.64
J,K,21.34
T,J,46.43
D,C,42.10
L,N,46.63
S,N,46.14
K,N,19.13
G,I,44.50
N,T,26.27
G,N,23.63
S,O,15.70
